domain,creation_date,expiration_date,lifespan,creation_year,registrar,nameserver1,nameserver2,nameserver3
0123movie.com,27-03-2017,27-03-2026,9.0,2017.0,,,,
01easylife.com,05-12-2017,05-12-2025,8.0,2017.0,,,,
01net.com,27-02-1999,27-02-2026,27.0,1999.0,"OVH, SAS",DANE.NS.CLOUDFLARE.COM,SERENA.NS.CLOUDFLARE.COM,
01tektek.com,06-03-2024,06-03-2026,2.0,2024.0,,,,
024jobs.com,12-09-2018,12-09-2025,7.0,2018.0,,,,
04.avsee.ru,11-06-2024,11-06-2026,2.0,2024.0,,,,
0chance2fail.com,06-08-2005,06-08-2026,21.0,2005.0,,,,
0rhp.com,02-06-2011,02-06-2026,15.0,2011.0,,,,
1001freefonts.com,28-12-1998,04-11-2030,31.0,1998.0,,,,
1001pallets.com,02-01-2013,02-01-2026,13.0,2013.0,,,,
1004263in.bountystory.fun,08-04-2025,08-04-2026,1.0,2025.0,,,,
1004264de.bountystory.online,08-04-2025,08-04-2026,1.0,2025.0,,,,
100krecipes.com,31-10-2019,31-10-2026,7.0,2019.0,"GoDaddy.com, LLC",CANDY.NS.CLOUDFLARE.COM,DAVID.NS.CLOUDFLARE.COM,
100t.com.br,19-01-2022,19-01-2026,4.0,2022.0,,,,
1015.iheart.com,07-01-1999,07-01-2026,27.0,1999.0,,,,
1019.adltop.com,08-07-2024,08-07-2026,2.0,2024.0,,,,
101cleaningtips.net,10-11-2015,10-11-2025,10.0,2015.0,,,,
101theeagle.com,04-05-2021,04-05-2026,5.0,2021.0,,,,
1033thegoat.com,29-08-2022,29-08-2025,3.0,2022.0,,,,
103gbfrocks.com,07-04-2003,07-04-2026,23.0,2003.0,,,,
104.stackappinfotech.com,19-04-2020,19-04-2028,8.0,2020.0,"NameCheap, Inc.",DNS1.REGISTRAR-SERVERS.COM,DNS2.REGISTRAR-SERVERS.COM,
1043wowcountry.com,28-03-2007,28-03-2026,19.0,2007.0,,,,
